2,Селкирк рекс короткошёрстный
2,Серенгети
2,Сиамская
2,Сибирская
2,Сингапурская
2,Скоттиш страйт
2,Скоттиш фолд
2,Сноу-Шу
2,Сококе
2,Сомали
2,Сфинкс (канадский)
2,Тайская
2,Тойгер
2,Тонкинская
2,Турецкая ангора
2,Турецкий ван
2,Украинский левкой
2,Уральский рекс длинношёрстный
2,Уральский рекс короткошёрстный
2,Форин Вайт
2,Хайленд фолд
2,Хауси
2,Цейлонская
2,Шантильи-тиффани
2,Шартрез
2,Эгейская кошка
2,Экзотическая
2,Скиф-тай-дон
2,Яванез (Яванская кошка)
2,Японский бобтейл длинношёрстный
2,Японский бобтейл короткошёрстный
